Mood,song_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_uri
Happy,Kings & Queens,Ava Max,84.0,0.637,0.69,1.0,-4.057,0.0,0.0405,0.00786,0.0,0.124,0.457,129.857,2.70665,spotify:track:7a53HqqArd4b9NF4XAmlbI
Happy,Green Green Grass,George Ezra,84.0,0.685,0.738,8.0,-4.413,1.0,0.0595,0.0695,0.0,0.128,0.8,112.972,2.7935666666666665,spotify:track:4N5s8lPTsjI9EGP7K4SXzB
Happy,My Universe,Coldplay,84.0,0.588,0.701,9.0,-6.39,1.0,0.0402,0.00813,0.0,0.2,0.443,104.988,3.8,spotify:track:3FeVmId7tL5YN8B7R3imoM
Happy,Best Day Of My Life,American Authors,83.0,0.673,0.902,2.0,-2.392,1.0,0.0346,0.0591,2.7275e-05,0.0558,0.538,100.012,3.2373333333333334,spotify:track:5Hroj5K7vLpIG4FNCRIjbP
Happy,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,83.0,0.824,0.862,2.0,-3.424,1.0,0.126,0.0076,2.7275e-05,0.303,0.801,122.98,2.8192166666666667,spotify:track:4cG7HUWYHBV6R6tHn1gxrl
Happy,MONTERO (Call Me By Your Name),Lil Nas X,83.0,0.593,0.503,8.0,-6.725,0.0,0.093975,0.293,0.0,0.194,0.71,127.845,2.2950666666666666,spotify:track:1SC5rEoYDGUK4NfG82494W
Happy,Budapest,George Ezra,84.0,0.717,0.455,5.0,-8.303,1.0,0.0276,0.0846,0.0,0.11,0.389,127.812,3.34555,spotify:track:2ixsaeFioXJmMgkkbd4uj1
Happy,Crazy What Love Can Do,David Guetta,83.0,0.601,0.713,4.0,-3.758,0.0,0.0449,0.0282,0.0,0.158,0.464,122.872,2.829266666666667,spotify:track:1WCEAGGRD066z2Q89ObXTq
Happy,About Damn Time,Lizzo,83.0,0.836,0.743,10.0,-6.305,0.0,0.0656,0.0995,0.0,0.335,0.722,108.966,3.197033333333333,spotify:track:1PckUlxKqWQs3RlWXVBLw3
Happy,Castle on the Hill,Ed Sheeran,83.0,0.461,0.834,2.0,-4.868,1.0,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,3.3054166666666664,spotify:track:6PCUP3dWmTjcTtXY02oFdT
Happy,Bam Bam (feat. Ed Sheeran),Camila Cabello,83.0,0.756,0.697,8.0,-6.377,1.0,0.0401,0.182,0.0,0.333,0.956,94.996,3.4345166666666667,spotify:track:0QBzMgT7NIeoCYy3sJCof1
Happy,Heaven,Niall Horan,83.0,0.57,0.756,5.0,-3.394,1.0,0.0257,0.0497,0.0,0.33,0.72,91.972,3.1007166666666666,spotify:track:5FQ77Cl1ndljtwwImdtjMy
Happy,Head & Heart (feat. MNEK),Joel Corry,83.0,0.734,0.874,8.0,-3.158,1.0,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,2.7671333333333332,spotify:track:6cx06DFPPHchuUAcTxznu9
Happy,Señorita,Shawn Mendes,82.0,0.759,0.54,9.0,-6.039,0.0,0.0287,0.037,0.0,0.0945,0.75,116.947,3.1826666666666665,spotify:track:0TK2YIli7K1leLovkQiNik
Happy,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,82.0,0.61,0.83,0.0,-4.105,1.0,0.0571,0.033,0.0,0.118,0.728,127.845,3.216666666666667,spotify:track:2Rk4JlNc2TPmZe2af99d45
Happy,Hold Me Closer,Elton John,82.0,0.667,0.75,0.0,-4.602,1.0,0.0906,0.0746,2.7275e-05,0.197,0.486,126.041,3.3707666666666665,spotify:track:72yP0DUlWPyH8P7IoxskwN
Happy,Where Did You Go? (feat. MNEK),Jax Jones,82.0,0.763,0.782,7.0,-4.541,0.0,0.0346,0.182,7.08e-06,0.293,0.502,127.034,2.9614833333333332,spotify:track:3sa06xVNmLLYIxdNNmVQN8
Happy,WATATI (feat. Aldo Ranks) [From Barbie The Album],KAROL G,82.0,0.893,0.851,3.0,-5.342,0.0,0.0979,0.145,6.49e-05,0.319,0.959,110.002,2.7813666666666665,spotify:track:6MZi5j60L80SZLBxN0bv8s
Happy,Love Lost,Mac Miller,82.0,0.735,0.812,2.0,-4.417,1.0,0.151,0.182,0.0,0.186,0.584,109.829,2.7146,spotify:track:2z9iuAxKv4TTeCrPAxxKg9
Happy,Waffle House,Jonas Brothers,82.0,0.729,0.763,10.0,-4.407,1.0,0.0363,0.033,1e-06,0.192,0.864,126.002,2.4240166666666667,spotify:track:5iE3eUH2WGCXcE2xr6DEmU
Happy,Rasputin,Majestic,82.0,0.758,0.913,6.0,-2.926,0.0,0.113,0.00364,2.7275e-05,0.193,0.658,128.04,3.1035,spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q
Happy,OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,82.0,0.787,0.833,8.0,-4.403,1.0,0.0478,0.018,2.7275e-05,0.0374,0.796,123.97,2.7100666666666666,spotify:track:6Dy1jexKYriXAVG6evyUTJ
Happy,Acapulco,Jason Derulo,82.0,0.774,0.792,10.0,-4.021,1.0,0.0523,0.051,0.0,0.155,0.507,122.062,2.3278666666666665,spotify:track:3eJH2nAjvNXdmPfBkALiPZ
Happy,Kiss Me More (feat. SZA),Doja Cat,81.0,0.762,0.701,8.0,-3.541,1.0,0.0286,0.235,2.7275e-05,0.123,0.742,110.968,3.481116666666667,spotify:track:748mdHapucXQri7IAO8yFK
